  Sequence_position,Sample_name   ,Cd_111,Hg_202,Pb_208,In_115,Ir_193
62,1 ppb metal standard,602,8297.7,2786.6,227953.8,227953.8
,  RSD,7.50%,1.70%,1.90%,3.20%,3.20%
63,5 ppb metal standard,2762.6,38738.1,13221.4,223434,223434
,  RSD,2.30%,2.80%,0.90%,3.70%,3.70%
64,10 ppb metal standard,5874.9,83030,27899.9,221198.5,221198.5
,  RSD,2.40%,1.80%,1.80%,2.60%,2.60%
66,Blank,5.7,166.3,82.7,221132.7,221132.7
,  RSD,27.00%,0.90%,8.60%,3.10%,3.10%
67,Blank,6.3,168,88.7,223015.9,223015.9
,  RSD,24.10%,9.20%,6.20%,2.90%,2.90%
